Championship Type,Match Status/Championship,Team A,Team B,Match Time,Match Score,Broadcasting Channel,Match Status/Duration
تصفيات كأس العالم-أفريقيا,نصف النهائي,نيجيريا,الجابون,18:00,(4 - 1),Shahid,انتهت
تصفيات كأس العالم-أفريقيا,نصف النهائي,الكاميرون,الكونغو الديمقراطية,21:00,(0 - 1),Shahid,انتهت
تصفيات كأس العالم-أوروبا,الجولة التاسعة,أرمينيا,المجر,19:00,(0 - 1),بى ان سبورت 4 HD,انتهت
تصفيات كأس العالم-أوروبا,الجولة التاسعة,إذربيجان,أيسلندا,19:00,(0 - 2),بى ان سبورت 3 HD,انتهت
تصفيات كأس العالم-أوروبا,الجولة التاسعة,النرويج,إستونيا,19:00,(4 - 1),غير محدد,انتهت
تصفيات كأس العالم-أوروبا,الجولة التاسعة,أيرلندا,البرتغال,21:45,(2 - 0),بى ان سبورت 5 HD,انتهت
تصفيات كأس العالم-أوروبا,الجولة التاسعة,فرنسا,أوكرانيا,21:45,(4 - 0),غير محدد,انتهت
تصفيات كأس العالم-أوروبا,الجولة التاسعة,مولدوفا,إيطاليا,21:45,(0 - 2),بى ان سبورت 4 HD,انتهت
تصفيات كأس العالم-أوروبا,الجولة التاسعة,إنجلترا,صربيا,21:45,(2 - 0),بى ان سبورت 3 HD,انتهت
تصفيات كأس العالم-أوروبا,الجولة التاسعة,اندورا,ألبانيا,21:45,(0 - 1),بى ان سبورت 6 HD,انتهت
تصفيات كأس العالم-آسيا,ذهاب المرحلة الفاصلة,الإمارات,العراق,18:00,(1 - 1),بى ان سبورت 1HD,انتهت
دوري القسم الثاني-أ,الجولة 12,بلدية المحلة,القناة,14:30,(0 - 0),Ontime sports 2,انتهت
دوري القسم الثاني-أ,الجولة 12,الانتاج الحربي,أسوان,14:30,(0 - 1),غير محدد,انتهت
دوري القسم الثاني-أ,الجولة 12,أبو قير للاسمدة,بروكسي,14:30,(2 - 1),غير محدد,انتهت
دوري القسم الثاني-أ,الجولة 12,بترول أسيوط,المصرية للاتصالات,14:30,(2 - 2),Ontime sports 1,انتهت
دوري القسم الثاني-أ,الجولة 12,السكة الحديد مودرن,مالية كفر الزيات,17:00,(1 - 2),غير محدد,انتهت
مباريات ودية - منتخبات,مباراة ودية,إيران,كاب فيردي,18:00,(0 - 0),Ontime sports 1,انتهت
مباريات ودية - منتخبات,مباراة ودية,الجزائر,زيمبابوي,18:30,(3 - 1),غير محدد,انتهت
الدوري المصري الممتاز - سيدات,الأسبوع التاسع,بالم هيلز,انبي,14:30,(3 - 0),غير محدد,انتهت
